,Date,Country_Code,ConfirmedCases,ConfirmedDeaths,Recovered
0,2020-01-22,AFG,0,0,0
1,2020-01-23,AFG,0,0,0
2,2020-01-24,AFG,0,0,0
3,2020-01-25,AFG,0,0,0
4,2020-01-26,AFG,0,0,0
5,2020-01-27,AFG,0,0,0
6,2020-01-28,AFG,0,0,0
7,2020-01-29,AFG,0,0,0
8,2020-01-30,AFG,0,0,0
9,2020-01-31,AFG,0,0,0
10,2020-02-01,AFG,0,0,0
11,2020-02-02,AFG,0,0,0
12,2020-02-03,AFG,0,0,0
13,2020-02-04,AFG,0,0,0
14,2020-02-05,AFG,0,0,0
15,2020-02-06,AFG,0,0,0
16,2020-02-07,AFG,0,0,0
17,2020-02-08,AFG,0,0,0
18,2020-02-09,AFG,0,0,0
19,2020-02-10,AFG,0,0,0
20,2020-02-11,AFG,0,0,0
21,2020-02-12,AFG,0,0,0
22,2020-02-13,AFG,0,0,0
23,2020-02-14,AFG,0,0,0
24,2020-02-15,AFG,0,0,0
25,2020-02-16,AFG,0,0,0
26,2020-02-17,AFG,0,0,0
27,2020-02-18,AFG,0,0,0
28,2020-02-19,AFG,0,0,0
29,2020-02-20,AFG,0,0,0
30,2020-02-21,AFG,0,0,0
31,2020-02-22,AFG,0,0,0
32,2020-02-23,AFG,0,0,0
33,2020-02-24,AFG,1,0,0
34,2020-02-25,AFG,1,0,0
35,2020-02-26,AFG,1,0,0
36,2020-02-27,AFG,1,0,0
37,2020-02-28,AFG,1,0,0
38,2020-02-29,AFG,1,0,0
39,2020-03-01,AFG,1,0,0
40,2020-03-02,AFG,1,0,0
41,2020-03-03,AFG,1,0,0
42,2020-03-04,AFG,1,0,0
43,2020-03-05,AFG,1,0,0
44,2020-03-06,AFG,1,0,0
45,2020-03-07,AFG,1,0,0
46,2020-03-08,AFG,4,0,0
47,2020-03-09,AFG,4,0,0
48,2020-03-10,AFG,5,0,0
49,2020-03-11,AFG,7,0,0
50,2020-03-12,AFG,7,0,0
51,2020-03-13,AFG,7,0,0
52,2020-03-14,AFG,11,0,0
53,2020-03-15,AFG,16,0,0
54,2020-03-16,AFG,21,0,1
55,2020-03-17,AFG,22,0,1
56,2020-03-18,AFG,22,0,1
57,2020-03-19,AFG,22,0,1
58,2020-03-20,AFG,24,0,1
59,2020-03-21,AFG,24,0,1
60,2020-03-22,AFG,40,1,1
61,2020-03-23,AFG,40,1,1
62,2020-03-24,AFG,74,1,1
63,2020-03-25,AFG,84,2,2
64,2020-03-26,AFG,94,4,2
65,2020-03-27,AFG,110,4,2
66,2020-03-28,AFG,110,4,2
67,2020-03-29,AFG,120,4,2
68,2020-03-30,AFG,170,4,2
69,2020-03-31,AFG,174,4,5
70,2020-04-01,AFG,237,4,5
71,2020-04-02,AFG,273,6,10
72,2020-04-03,AFG,281,6,10
73,2020-04-04,AFG,299,7,10
74,2020-04-05,AFG,349,7,15
75,2020-04-06,AFG,367,11,18
76,2020-04-07,AFG,423,14,18
77,2020-04-08,AFG,444,14,29
78,2020-04-09,AFG,484,15,32
79,2020-04-10,AFG,521,15,32
80,2020-04-11,AFG,555,18,32
81,2020-04-12,AFG,607,18,32
82,2020-04-13,AFG,665,21,32
83,2020-04-14,AFG,714,23,40
84,2020-04-15,AFG,784,25,43
85,2020-04-16,AFG,840,30,54
86,2020-04-17,AFG,906,30,99
87,2020-04-18,AFG,933,30,112
